cargotype,description
770,консервы
301,тяжеловесный и крупногабаритный 20кг
980,Требует обязательной маркировки
985,"Не требует наличия маркировки, но требует вывода через ЦРПТ маркированных товаров"
990,Потребует обязательной маркировки в ближайшем будущем
910,интим товар
900,медикаменты
10,документы и ценные бумаги
50,предметы искусства
100,товары народного потребления
200,техника и электроника
220,литий-ионные батареи
500,влажный (мокрый)
460,пахучий
720,готовое блюда
955,пачкает
40,ценное
470,порошки (в том числе мелкодисперсные)
800,животные
960,мнется
450,аэрозоли и газы
700,скоропортящийся
710,полуфабрикат
950,пачкается
230,техника и электроника с литий-ионными батареями
440,косметика и парфюмерия
485,бытовая химия
790,охлажденные
150,малогабаритный товар
310,хрупкое
420,оружие и взрывчатые вещества
970,впитывает запах
490,средства личной гигиены
750,продукты питания
510,сырье
480,химикаты
80,драгоценности
520,жидкость
760,замороженный
780,сухие
0,не определен
400,опасный
320,сыпучее
300,тяжеловесный и крупногабаритный
20,возрастное ограничение на получение товара
799,требует доставки с термо режимом 0+
140,пестициды
160,строительные материалы
130,агрохимикаты
120,корма для животных
410,опасный Авиа
752,ультра-фреш
751,фреш
110,в ассортименте
600,"одежда, обувь, аксессуары"
315,керамика/стекло/камень/фарфор
330,семена
905,БАДы
907,рецептурное лекарство
305,мебель
601,нельзя примерить
302,тяжеловесный и крупногабаритный больше паллеты
340,не требует упаковки
303,многоместный товар
291,Склад СГТ (среднегабаритный товар)
290,Склад МГТ (малогабаритный товар)
292,Склад КГТ (крупногабаритный товар)
920,Терморежим 13-22
350,возможно вскрытие заводской упаковки покупателем
1010,меркурий
210,цифровой товар
81,"аксессуары, часы и украшения"
441,товары для красоты
610,обувь взрослая
611,обувь детская
641,бытовая техника
672,товары для спорта и отдыха
671,детские игрушки и игры
930,Нельзя в Экспресс
931,Нельзя на ФФЦ и СЦ
620,одежда верхняя
622,одежда детская
621,одежда прочая
623,одежда с плечиками
692,цена высокая
673,ручки письменные
801,товары для животных
690,цена низкая
670,товары для авто и мототехники
901,аптека
691,цена средняя
640,электроника
908,ветеринарная аптека
1300,большой аксессуар
1200,малый аксессуар
360,упаковка в пленку
